Instancia,Percentil,Threshold,Distancia greedy,Distancia LP,Mejora relativa,Numero de asignaciones no factibles,Tiempo LP
input/small_0.csv,80,7.12,36.9,29.299999999999997,25.938566552901033,0,0.0019068717956542969
input/small_1.csv,80,10.32,42.4,32.4,30.864197530864203,0,0.001415252685546875
input/small_2.csv,80,12.32,65.60000000000001,56.9,15.289982425307574,0,0.0014820098876953125
input/small_3.csv,80,8.0,29.500000000000004,23.7,24.472573839662466,0,0.0018301010131835938
input/small_4.csv,80,8.340000000000002,33.9,30.800000000000004,10.064935064935044,0,0.0015501976013183594
input/small_5.csv,80,12.02,63.599999999999994,inf,,0,0.0003190040588378906
input/small_6.csv,80,10.840000000000002,44.9,inf,,0,0.00045013427734375
input/small_7.csv,80,10.0,56.3,inf,,0,0.0002810955047607422
input/small_8.csv,80,9.92,38.1,35.50000000000001,7.323943661971813,0,0.00409388542175293
input/small_9.csv,80,11.680000000000001,58.099999999999994,49.7,16.90140845070421,0,0.001238107681274414
input/medium_0.csv,80,10.6,408.7,329.70000000000005,23.961176827418846,0,0.06162405014038086
input/medium_1.csv,80,10.8,380.0,inf,,0,0.013082027435302734
input/medium_2.csv,80,9.7,307.70000000000005,inf,,0,0.003000020980834961
input/medium_3.csv,80,11.1,380.1,317.5,19.716535433070874,0,0.13774609565734863
input/medium_4.csv,80,9.1,279.2000000000001,inf,,0,0.009207010269165039
input/medium_5.csv,80,11.4,398.5,inf,,0,0.011776924133300781
input/medium_6.csv,80,9.9,323.09999999999997,inf,,0,0.004414796829223633
input/medium_7.csv,80,9.5,325.5,inf,,0,0.0031578540802001953
input/medium_8.csv,80,9.6,271.29999999999995,227.6,19.200351493848842,0,0.06421208381652832
input/medium_9.csv,80,9.8,299.0,258.8,15.533230293663056,0,0.07037472724914551
input/large_0.csv,80,10.6,917.9000000000003,inf,,0,0.27990198135375977
input/large_1.csv,80,11.2,988.1999999999999,inf,,0,0.04149770736694336
input/large_2.csv,80,10.1,736.8999999999997,599.5000000000003,22.919099249374366,0,0.7887842655181885
input/large_3.csv,80,10.2,844.5000000000002,inf,,0,0.02285480499267578
input/large_4.csv,80,10.6,844.2000000000003,inf,,0,0.34342384338378906
input/large_5.csv,80,9.8,795.7,inf,,0,0.2576577663421631
input/large_6.csv,80,9.8,793.7,inf,,0,0.03354692459106445
input/large_7.csv,80,9.9,867.8000000000003,inf,,0,0.027655839920043945
input/large_8.csv,80,11.0,944.8999999999999,inf,,0,0.024689912796020508
input/large_9.csv,80,9.9,762.1999999999999,inf,,0,0.019620895385742188
input/xl_0.csv,80,10.5,1655.3,inf,,0,9.289242029190063
input/xl_1.csv,80,10.2,1605.1,1413.500000000001,13.555005305977987,0,5.079698085784912
input/xl_2.csv,80,9.9,1486.899999999999,inf,,0,0.3431267738342285
input/xl_3.csv,80,10.1,1390.2000000000003,inf,,0,6.113394021987915
input/xl_4.csv,80,9.9,1466.9999999999995,inf,,0,5.358492851257324
input/xl_5.csv,80,10.1,1441.5000000000005,1255.5999999999997,14.80567059573119,0,4.111288070678711
input/xl_6.csv,80,10.2,1737.3999999999996,inf,,0,0.0833730697631836
input/xl_7.csv,80,10.5,1705.1,inf,,0,5.728132009506226
input/xl_8.csv,80,9.9,1512.6999999999998,inf,,0,0.16886401176452637
input/xl_9.csv,80,10.2,1531.7000000000003,inf,,0,7.314764976501465
